Title,Type,Genre,Country,Release_Year,Duration_Minutes,Rating,Views_Millions
Last Summer III,Movie,Thriller,USA,,115.0,TV-14,118.17
Shadow Hunter Returns,Movie,Thriller,UK,2020.0,94.0,R,319.57
Crimson Horizon II,TV Show,Drama,UK,2010.0,93.0,TV-14,8.2
Shadows of the Past Origins,Movie,Romance,USA,2021.0,129.0,PG-13,263.07
City of Dreams Reborn,TV Show,Documentary,USA,2018.0,157.0,TV-14,400.85
Shadows of the Past Origins,TV Show,Thriller,Germany,2005.0,61.0,PG-13,325.38
Cold Justice Origins,,Romance,Canada,2000.0,91.0,PG-13,
Golden Empire II,TV Show,Comedy,France,2019.0,,R,465.29
Mystic River III,Movie,Romance,France,2019.0,170.0,TV-14,264.78
Broken Wings Returns,Movie,Drama,Germany,2000.0,104.0,TV-MA,253.04
Second Chances Chapter 2,TV Show,,Germany,2004.0,94.0,R,206.93
Last Summer Reborn,Movie,Thriller,Germany,2004.0,,TV-14,79.67
Mystic River Reborn,TV Show,Documentary,France,2003.0,150.0,R,77.87
Bloodline Chapter 2,TV Show,,India,2020.0,175.0,TV-14,
Dark Secrets Reborn,Movie,Action,Canada,2009.0,62.0,R,86.57
Deadly Game Reborn,,Thriller,,2009.0,92.0,,425.89
Final Verdict III,Movie,Drama,USA,2007.0,141.0,R,118.82
Dark Secrets Origins,,Documentary,Germany,2014.0,164.0,R,163.13
Secret Heist Reborn,TV Show,Thriller,Germany,2012.0,150.0,PG,19.99
Fading Lights III,TV Show,Drama,France,2000.0,177.0,PG,279.18
Eternal Love Returns,Movie,Drama,India,2005.0,158.0,TV-MA,116.74
Love & Betrayal Chapter 2,Movie,Drama,France,2010.0,107.0,R,334.55
Last Summer III,TV Show,Romance,UK,2009.0,77.0,PG,174.49
Bloodline Returns,Movie,Drama,USA,2004.0,152.0,R,319.39
Deep Waters Reborn,Movie,Action,France,2012.0,86.0,TV-MA,243.41
Frozen Memories III,Movie,Thriller,Canada,2002.0,163.0,PG-13,465.96
Infinite Night Chapter 2,Movie,Action,France,2001.0,127.0,TV-14,110.51
Love & Betrayal Chapter 2,Movie,Romance,Germany,2004.0,70.0,PG-13,
Cold Justice Returns,TV Show,Comedy,India,2003.0,138.0,R,146.71
Infinite Night II,TV Show,Drama,Canada,2015.0,86.0,TV-MA,134.33
The Secret Island Chapter 2,TV Show,Romance,France,2021.0,62.0,TV-14,207.94
Rising Phoenix Returns,Movie,Drama,USA,2009.0,180.0,R,96.64
Midnight Escape Chapter 2,Movie,Drama,USA,2010.0,71.0,PG-13,
Infinite Night Returns,TV Show,Romance,USA,2012.0,76.0,PG-13,228.69
Broken Wings III,Movie,Thriller,Canada,2000.0,,TV-14,118.35
Beyond the Sea Chapter 2,TV Show,Romance,India,2007.0,173.0,TV-14,490.68
,TV Show,Action,France,2014.0,95.0,PG,41.45
,Movie,Drama,Germany,,116.0,PG-13,296.47
Echoes of Tomorrow Chapter 2,Movie,Drama,France,2015.0,152.0,TV-14,484.9
Fading Lights Origins,Movie,Romance,Canada,2010.0,70.0,R,348.06
Beyond the Sea Chapter 2,Movie,Action,UK,2011.0,129.0,TV-14,339.58
Bloodline Chapter 2,Movie,Romance,Canada,2001.0,160.0,PG,274.38
Hidden Truth III,TV Show,Documentary,Germany,2022.0,173.0,TV-MA,268.0
The Hidden Code Origins,TV Show,Drama,Canada,,149.0,TV-MA,190.97
Galaxy Wars Chapter 2,Movie,Documentary,India,2000.0,80.0,PG,208.41
Deep Waters II,TV Show,Action,,2002.0,114.0,,490.83
Rising Phoenix Chapter 2,TV Show,Documentary,Canada,2000.0,151.0,PG-13,448.06
Mystic River III,TV Show,Romance,UK,2002.0,132.0,PG-13,200.55
The Last Letter Returns,Movie,Documentary,,2013.0,111.0,TV-14,101.25
